Период,Контрагент,ТМ,Стоимость,Валовый Доход,Тип,Количество
2022-11-27,ОЗОН,Thomas Munz,449678.77543372684,274304.06490098586,План,0
2022-11-27,ОЗОН,Salamander,5441.090208010863,3411.738457656581,План,0
2022-11-28,ОЗОН,Thomas Munz,367528.3021927655,224192.27405250623,План,0
2022-11-28,ОЗОН,Salamander,4447.073678981398,2788.458142501519,План,0
2022-11-29,ОЗОН,Thomas Munz,485850.3257081449,296368.71152450773,План,0
2022-11-29,ОЗОН,Salamander,5878.764118274646,3686.174067888041,План,0
2022-11-30,ОЗОН,Thomas Munz,454977.38064186694,277536.21421800996,План,0
2022-11-30,ОЗОН,Salamander,5505.203060315976,3451.9392768816265,План,0
2022-11-01,ИМ,Thomas Munz,644643.1717060665,383562.6871651095,План,0
2022-11-01,ИМ,ПТМ,58603.92470055149,31353.099714795047,План,0
2022-11-01,ИМ,Salamander,102556.86822596511,61226.45033090117,План,0
2022-11-02,ИМ,Thomas Munz,628761.4330921114,374113.05268980627,План,0
2022-11-02,ИМ,ПТМ,57160.13028110103,30580.669700389055,План,0
2022-11-02,ИМ,Salamander,100030.2279919268,59718.04611118031,План,0
2022-11-03,ИМ,Thomas Munz,607166.3041450946,361263.9509663313,План,0
2022-11-03,ИМ,ПТМ,55196.93674046314,29530.36115614778,План,0
2022-11-03,ИМ,Salamander,96594.6392958105,57666.99965959887,План,0
2022-11-04,ИМ,Thomas Munz,584413.1946309843,347725.8508054357,План,0
2022-11-04,ИМ,ПТМ,53128.472239180395,28423.73264796151,План,0
2022-11-04,ИМ,Salamander,92974.82641856569,55505.971371883716,План,0
2022-11-05,ИМ,Thomas Munz,564834.624998526,336076.6018741229,План,0
2022-11-05,ИМ,ПТМ,51348.60227259327,27471.502215837398,План,0
2022-11-05,ИМ,Salamander,89860.05397703822,53646.45222429182,План,0
2022-11-06,ИМ,Thomas Munz,559208.3901036092,332728.99211164744,План,0
2022-11-06,ИМ,ПТМ,50837.126373055384,27197.86260958463,План,0
2022-11-06,ИМ,Salamander,88964.97115284692,53112.08777824961,План,0
2022-11-07,ИМ,Thomas Munz,675009.2460508555,401630.50140025903,План,0
2022-11-07,ИМ,ПТМ,61364.47691371414,32829.995148837064,План,0
2022-11-07,ИМ,Salamander,107387.83459899975,64110.537255602845,План,0
2022-11-08,ИМ,Thomas Munz,756142.020863434,449904.5024137432,План,0
2022-11-08,ИМ,ПТМ,68740.18371485763,36775.998287448834,План,0
2022-11-08,ИМ,Salamander,120295.32150100084,71816.3069360975,План,0
2022-11-09,ИМ,Thomas Munz,737513.3430809653,438820.4391331744,План,0
2022-11-09,ИМ,ПТМ,67046.66755281504,35869.967140756045,План,0
2022-11-09,ИМ,Salamander,117331.66821742631,70047.0059258035,План,0
2022-11-10,ИМ,Thomas Munz,712183.0748651576,423748.92954476876,План,0
2022-11-10,ИМ,ПТМ,64743.915896832514,34637.995004805394,План,0
2022-11-10,ИМ,Salamander,113301.8528194569,67641.20613321576,План,0
2022-11-11,ИМ,Thomas Munz,1370989.0786185742,815738.5017780517,План,0
2022-11-11,ИМ,ПТМ,124635.37078350676,66679.92336917612,План,0
2022-11-11,ИМ,Salamander,218111.89887113683,130212.80362606868,План,0
2022-11-12,ИМ,Thomas Munz,1325059.2375614736,788410.2463490769,План,0
2022-11-12,ИМ,ПТМ,120459.9306874067,64446.06291776258,План,0
2022-11-12,ИМ,Salamander,210804.87870296172,125850.51258566814,План,0
2022-11-13,ИМ,Thomas Munz,1311860.5167496614,780557.0074660486,План,0
2022-11-13,ИМ,ПТМ,119260.04697724195,63804.12513282444,План,0
2022-11-13,ИМ,Salamander,208705.08221017342,124596.93407947353,План,0
2022-11-14,ИМ,Thomas Munz,791760.2757810978,471097.3640897532,План,0
2022-11-14,ИМ,ПТМ,71978.20688919071,38508.34068571703,План,0
2022-11-14,ИМ,Salamander,125961.86205608374,75199.231647482,План,0
2022-11-15,ИМ,Thomas Munz,665212.1390454016,395801.22273201396,План,0
2022-11-15,ИМ,ПТМ,60473.83082230923,32353.49948993544,План,0
2022-11-15,ИМ,Salamander,105829.20393904117,63180.03475160757,План,0
2022-11-16,ИМ,Thomas Munz,648823.6534787443,386050.0738198529,План,0
2022-11-16,ИМ,ПТМ,58983.96849806767,31556.4231464662,План,0
2022-11-16,ИМ,Salamander,103221.94487161841,61623.5010883562,План,0
2022-11-17,ИМ,Thomas Munz,626539.4774410333,372790.98907741485,План,0
2022-11-17,ИМ,ПТМ,56958.13431282122,30472.60185735935,План,0
2022-11-17,ИМ,Salamander,99676.73504743712,59507.010823319964,План,0
2022-11-18,ИМ,Thomas Munz,603060.3725437323,358820.9216635207,План,0
2022-11-18,ИМ,ПТМ,54823.67023124838,29330.663573717888,План,0
2022-11-18,ИМ,Salamander,95941.42290468467,57277.02947409675,План,0
2022-11-19,ИМ,Thomas Munz,582857.0992348895,346799.97404475923,План,0
2022-11-19,ИМ,ПТМ,52987.00902135359,28348.04982642417,План,0
2022-11-19,ИМ,Salamander,92727.26578736877,55358.17767505916,План,0
2022-11-20,ИМ,Thomas Munz,577051.345116197,343345.55034413724,План,0
2022-11-20,ИМ,ПТМ,52459.21319238155,28065.679057924128,План,0
2022-11-20,ИМ,Salamander,91803.6230866677,54806.76298274062,План,0
2022-11-21,ИМ,Thomas Munz,696547.119629853,414445.53617976257,План,0
2022-11-21,ИМ,ПТМ,63322.46542089573,33877.519000179214,План,0
2022-11-21,ИМ,Salamander,110814.31448656753,66156.14574848082,План,0
2022-11-22,ИМ,Thomas Munz,700086.8622606968,416551.68304511457,План,0
2022-11-22,ИМ,ПТМ,63644.26020551789,34049.67920995207,План,0
2022-11-22,ИМ,Salamander,111377.4553596563,66492.34084971482,План,0
2022-11-23,ИМ,Thomas Munz,682839.1862726572,406289.3158322311,План,0
2022-11-23,ИМ,ПТМ,62076.28966115066,33210.814968715604,План,0
2022-11-23,ИМ,Salamander,108633.50690701365,64854.203623487156,План,0
2022-11-24,ИМ,Thomas Munz,659386.7295831362,392335.10410196596,План,0
